,Month-Year,Temperature,Rainfall
323,DEC-2006.0,19.99,11.080555555555556
324,JAN-2007.0,19.24,2.4361111111111113
325,FEB-2007.0,20.97,34.830555555555556
326,MAR-2007.0,23.52,28.65277777777778
327,APR-2007.0,27.72,42.294444444444444
328,MAY-2007.0,28.84,72.11666666666666
329,JUN-2007.0,28.31,270.4
330,JUL-2007.0,27.66,363.04999999999995
331,AUG-2007.0,27.37,310.5
332,SEP-2007.0,26.61,270.6111111111111
333,OCT-2007.0,24.92,76.21666666666667
334,NOV-2007.0,22.4,24.00277777777778
335,DEC-2007.0,19.65,18.952777777777776
336,JAN-2008.0,18.49,19.419444444444444
337,FEB-2008.0,19.83,17.78888888888889
338,MAR-2008.0,24.43,50.40555555555555
339,APR-2008.0,26.54,40.50555555555556
340,MAY-2008.0,28.42,69.5611111111111
341,JUN-2008.0,28.1,259.40833333333336
342,JUL-2008.0,27.5,293.2722222222222
343,AUG-2008.0,27.0,307.0861111111111
344,SEP-2008.0,26.44,192.55277777777778
345,OCT-2008.0,25.47,71.02222222222223
346,NOV-2008.0,22.51,33.34444444444445
347,DEC-2008.0,20.62,13.024999999999999
348,JAN-2009.0,19.79,8.241666666666667
349,FEB-2009.0,21.66,10.633333333333333
350,MAR-2009.0,24.55,17.09722222222222
351,APR-2009.0,27.35,30.67777777777778
352,MAY-2009.0,28.71,79.55000000000001
353,JUN-2009.0,28.77,137.04722222222222
354,JUL-2009.0,27.83,342.42571428571426
355,AUG-2009.0,27.85,220.29166666666666
356,SEP-2009.0,27.11,174.61666666666667
357,OCT-2009.0,25.2,93.45555555555556
358,NOV-2009.0,22.31,61.279999999999994
359,DEC-2009.0,20.22,15.371428571428572
360,JAN-2010.0,19.15,9.983333333333333
361,FEB-2010.0,21.23,12.83611111111111
362,MAR-2010.0,26.53,18.569444444444443
363,APR-2010.0,28.4,49.31388888888889
364,MAY-2010.0,29.19,86.35277777777777
365,JUN-2010.0,28.51,202.61944444444444
366,JUL-2010.0,27.55,361.225
367,AUG-2010.0,27.33,305.7277777777778
368,SEP-2010.0,26.6,221.625
369,OCT-2010.0,25.58,95.56944444444444
370,NOV-2010.0,22.98,75.04444444444444
371,DEC-2010.0,19.22,29.349999999999998
372,JAN-2011.0,18.32,14.341666666666665
373,FEB-2011.0,20.79,22.769444444444446
374,MAR-2011.0,24.11,27.744444444444444
375,APR-2011.0,26.1,49.325
376,MAY-2011.0,28.92,71.5611111111111
377,JUN-2011.0,28.6,241.1027777777778
378,JUL-2011.0,27.6,314.7111111111111
379,AUG-2011.0,27.2,329.39166666666665
380,SEP-2011.0,26.7,225.7888888888889
381,OCT-2011.0,25.51,53.425
382,NOV-2011.0,22.84,29.858333333333334
383,DEC-2011.0,19.84,12.930555555555555
384,JAN-2012.0,18.25,27.485714285714284
385,FEB-2012.0,20.43,9.663888888888888
386,MAR-2012.0,23.98,11.891666666666667
387,APR-2012.0,26.89,58.24166666666666
388,MAY-2012.0,28.72,50.24444444444444
389,JUN-2012.0,28.91,183.30833333333334
390,JUL-2012.0,27.98,295.34722222222223
391,AUG-2012.0,27.31,296.5055555555556
392,SEP-2012.0,26.65,234.80833333333334
393,OCT-2012.0,24.85,76.62777777777778
394,NOV-2012.0,22.26,38.75555555555556
395,DEC-2012.0,19.91,13.53888888888889
396,JAN-2013.0,18.88,12.108333333333333
397,FEB-2013.0,21.07,36.56388888888889
398,MAR-2013.0,24.53,17.477777777777778
399,APR-2013.0,26.97,31.599999999999998
400,MAY-2013.0,29.06,82.80277777777778
401,JUN-2013.0,28.24,297.4194444444445
402,JUL-2013.0,27.5,372.56666666666666
403,AUG-2013.0,27.22,264.3388888888889
404,SEP-2013.0,26.87,179.24722222222223
405,OCT-2013.0,25.63,144.8138888888889
406,NOV-2013.0,22.18,27.391666666666666
407,DEC-2013.0,19.69,8.819444444444445
408,JAN-2014.0,18.81,16.180555555555557
409,FEB-2014.0,20.35,25.647222222222226
410,MAR-2014.0,23.34,29.44166666666667
411,APR-2014.0,26.91,22.052777777777777
412,MAY-2014.0,28.45,91.01388888888889
413,JUN-2014.0,29.42,142.2611111111111
414,JUL-2014.0,28.07,309.73333333333335
415,AUG-2014.0,27.42,291.225
416,SEP-2014.0,26.61,198.3722222222222
417,OCT-2014.0,25.38,81.15277777777777
418,NOV-2014.0,22.53,21.11388888888889
419,DEC-2014.0,19.5,16.166666666666668
420,JAN-2015.0,19.02,19.052777777777777
421,FEB-2015.0,21.23,16.825000000000003
422,MAR-2015.0,23.52,51.730555555555554
423,APR-2015.0,26.52,76.225
424,MAY-2015.0,28.82,75.525
425,JUN-2015.0,28.15,239.35555555555553
