,Month-Year,Temperature
288,JAN-1994.0,19.33
289,FEB-1994.0,20.2
290,MAR-1994.0,24.14
291,APR-1994.0,26.04
292,MAY-1994.0,28.72
293,JUN-1994.0,28.56
294,JUL-1994.0,27.34
295,AUG-1994.0,27.01
296,SEP-1994.0,26.31
297,OCT-1994.0,24.56
298,NOV-1994.0,22.06
299,DEC-1994.0,19.3
300,JAN-1995.0,19.18
301,FEB-1995.0,21.48
302,MAR-1995.0,24.26
303,APR-1995.0,27.23
304,MAY-1995.0,29.34
305,JUN-1995.0,29.88
306,JUL-1995.0,27.8
307,AUG-1995.0,27.4
308,SEP-1995.0,27.15
309,OCT-1995.0,26.0
310,NOV-1995.0,22.99
311,DEC-1995.0,20.65
312,JAN-1996.0,19.81
313,FEB-1996.0,21.73
314,MAR-1996.0,25.13
315,APR-1996.0,26.67
316,MAY-1996.0,28.37
317,JUN-1996.0,28.08
318,JUL-1996.0,27.42
319,AUG-1996.0,26.77
320,SEP-1996.0,26.64
321,OCT-1996.0,24.5
322,NOV-1996.0,21.81
323,DEC-1996.0,18.96
324,JAN-1997.0,17.86
325,FEB-1997.0,19.88
326,MAR-1997.0,23.64
327,APR-1997.0,25.55
328,MAY-1997.0,27.86
329,JUN-1997.0,28.33
330,JUL-1997.0,28.01
331,AUG-1997.0,27.27
332,SEP-1997.0,26.81
333,OCT-1997.0,24.48
334,NOV-1997.0,22.05
335,DEC-1997.0,19.31
336,JAN-1998.0,18.84
337,FEB-1998.0,20.6
338,MAR-1998.0,22.98
339,APR-1998.0,27.0
340,MAY-1998.0,29.18
341,JUN-1998.0,28.88
342,JUL-1998.0,27.78
343,AUG-1998.0,27.42
344,SEP-1998.0,26.7
345,OCT-1998.0,25.27
346,NOV-1998.0,22.48
347,DEC-1998.0,19.21
348,JAN-1999.0,18.32
349,FEB-1999.0,21.26
350,MAR-1999.0,24.18
351,APR-1999.0,27.66
352,MAY-1999.0,28.13
353,JUN-1999.0,27.95
354,JUL-1999.0,27.58
355,AUG-1999.0,27.08
356,SEP-1999.0,26.9
357,OCT-1999.0,24.97
358,NOV-1999.0,22.33
359,DEC-1999.0,19.57
360,JAN-2000.0,18.87
361,FEB-2000.0,19.78
362,MAR-2000.0,23.22
363,APR-2000.0,27.27
364,MAY-2000.0,28.92
365,JUN-2000.0,28.02
366,JUL-2000.0,27.34
367,AUG-2000.0,26.98
368,SEP-2000.0,26.53
369,OCT-2000.0,25.58
370,NOV-2000.0,22.75
371,DEC-2000.0,19.66
372,JAN-2001.0,18.5
373,FEB-2001.0,21.0
374,MAR-2001.0,24.12
375,APR-2001.0,26.9
376,MAY-2001.0,29.46
377,JUN-2001.0,28.13
378,JUL-2001.0,27.63
379,AUG-2001.0,27.62
380,SEP-2001.0,26.86
381,OCT-2001.0,25.49
382,NOV-2001.0,22.51
383,DEC-2001.0,19.55
384,JAN-2002.0,18.78
385,FEB-2002.0,20.52
386,MAR-2002.0,24.44
387,APR-2002.0,27.66
388,MAY-2002.0,29.56
389,JUN-2002.0,28.77
390,JUL-2002.0,28.47
391,AUG-2002.0,27.27
392,SEP-2002.0,26.43
393,OCT-2002.0,25.44
394,NOV-2002.0,23.17
395,DEC-2002.0,19.87
396,JAN-2003.0,18.6
397,FEB-2003.0,21.03
398,MAR-2003.0,23.62
399,APR-2003.0,27.29
400,MAY-2003.0,28.64
401,JUN-2003.0,29.01
402,JUL-2003.0,27.53
403,AUG-2003.0,27.25
404,SEP-2003.0,26.75
405,OCT-2003.0,24.92
406,NOV-2003.0,22.17
407,DEC-2003.0,19.59
408,JAN-2004.0,18.83
409,FEB-2004.0,21.03
410,MAR-2004.0,26.19
411,APR-2004.0,27.38
412,MAY-2004.0,28.12
413,JUN-2004.0,27.94
414,JUL-2004.0,27.44
415,AUG-2004.0,27.16
416,SEP-2004.0,26.8
417,OCT-2004.0,24.34
418,NOV-2004.0,22.43
419,DEC-2004.0,19.93
420,JAN-2005.0,19.07
421,FEB-2005.0,20.51
422,MAR-2005.0,24.14
423,APR-2005.0,26.62
424,MAY-2005.0,28.22
425,JUN-2005.0,28.99
426,JUL-2005.0,27.34
427,AUG-2005.0,27.41
428,SEP-2005.0,26.82
429,OCT-2005.0,24.84
430,NOV-2005.0,21.73
431,DEC-2005.0,19.23
432,JAN-2006.0,19.96
433,FEB-2006.0,23.02
434,MAR-2006.0,23.91
435,APR-2006.0,26.83
436,MAY-2006.0,28.82
437,JUN-2006.0,28.13
438,JUL-2006.0,27.92
439,AUG-2006.0,27.15
440,SEP-2006.0,26.42
441,OCT-2006.0,25.41
442,NOV-2006.0,22.59
443,DEC-2006.0,19.99
444,JAN-2007.0,19.24
445,FEB-2007.0,20.97
446,MAR-2007.0,23.52
447,APR-2007.0,27.72
448,MAY-2007.0,28.84
449,JUN-2007.0,28.31
450,JUL-2007.0,27.66
451,AUG-2007.0,27.37
452,SEP-2007.0,26.61
453,OCT-2007.0,24.92
454,NOV-2007.0,22.4
455,DEC-2007.0,19.65
456,JAN-2008.0,18.49
457,FEB-2008.0,19.83
458,MAR-2008.0,24.43
459,APR-2008.0,26.54
460,MAY-2008.0,28.42
461,JUN-2008.0,28.1
462,JUL-2008.0,27.5
463,AUG-2008.0,27.0
464,SEP-2008.0,26.44
465,OCT-2008.0,25.47
466,NOV-2008.0,22.51
467,DEC-2008.0,20.62
468,JAN-2009.0,19.79
469,FEB-2009.0,21.66
470,MAR-2009.0,24.55
471,APR-2009.0,27.35
472,MAY-2009.0,28.71
473,JUN-2009.0,28.77
474,JUL-2009.0,27.83
475,AUG-2009.0,27.85
476,SEP-2009.0,27.11
477,OCT-2009.0,25.2
478,NOV-2009.0,22.31
479,DEC-2009.0,20.22
480,JAN-2010.0,19.15
481,FEB-2010.0,21.23
482,MAR-2010.0,26.53
483,APR-2010.0,28.4
484,MAY-2010.0,29.19
485,JUN-2010.0,28.51
486,JUL-2010.0,27.55
487,AUG-2010.0,27.33
488,SEP-2010.0,26.6
489,OCT-2010.0,25.58
490,NOV-2010.0,22.98
491,DEC-2010.0,19.22
492,JAN-2011.0,18.32
493,FEB-2011.0,20.79
494,MAR-2011.0,24.11
495,APR-2011.0,26.1
496,MAY-2011.0,28.92
497,JUN-2011.0,28.6
498,JUL-2011.0,27.6
499,AUG-2011.0,27.2
500,SEP-2011.0,26.7
501,OCT-2011.0,25.51
502,NOV-2011.0,22.84
503,DEC-2011.0,19.84
504,JAN-2012.0,18.25
505,FEB-2012.0,20.43
506,MAR-2012.0,23.98
507,APR-2012.0,26.89
508,MAY-2012.0,28.72
509,JUN-2012.0,28.91
510,JUL-2012.0,27.98
511,AUG-2012.0,27.31
512,SEP-2012.0,26.65
513,OCT-2012.0,24.85
514,NOV-2012.0,22.26
515,DEC-2012.0,19.91
516,JAN-2013.0,18.88
517,FEB-2013.0,21.07
518,MAR-2013.0,24.53
519,APR-2013.0,26.97
520,MAY-2013.0,29.06
521,JUN-2013.0,28.24
522,JUL-2013.0,27.5
523,AUG-2013.0,27.22
524,SEP-2013.0,26.87
525,OCT-2013.0,25.63
526,NOV-2013.0,22.18
527,DEC-2013.0,19.69
528,JAN-2014.0,18.81
529,FEB-2014.0,20.35
530,MAR-2014.0,23.34
531,APR-2014.0,26.91
532,MAY-2014.0,28.45
533,JUN-2014.0,29.42
534,JUL-2014.0,28.07
535,AUG-2014.0,27.42
536,SEP-2014.0,26.61
537,OCT-2014.0,25.38
538,NOV-2014.0,22.53
539,DEC-2014.0,19.5
540,JAN-2015.0,19.02
541,FEB-2015.0,21.23
542,MAR-2015.0,23.52
543,APR-2015.0,26.52
544,MAY-2015.0,28.82
545,JUN-2015.0,28.15
546,JUL-2015.0,28.03
547,AUG-2015.0,27.64
548,SEP-2015.0,27.04
549,OCT-2015.0,25.82
550,NOV-2015.0,22.95
551,DEC-2015.0,20.21
552,JAN-2016.0,20.92
553,FEB-2016.0,23.58
554,MAR-2016.0,26.61
555,APR-2016.0,29.56
556,MAY-2016.0,30.41
557,JUN-2016.0,29.7
558,JUL-2016.0,28.18
559,AUG-2016.0,28.17
560,SEP-2016.0,27.72
561,OCT-2016.0,26.81
562,NOV-2016.0,23.9
563,DEC-2016.0,21.89
564,JAN-2017.0,20.59
565,FEB-2017.0,23.08
566,MAR-2017.0,25.58
567,APR-2017.0,29.17
568,MAY-2017.0,30.47
569,JUN-2017.0,29.44
570,JUL-2017.0,28.31
571,AUG-2017.0,28.12
572,SEP-2017.0,28.11
573,OCT-2017.0,27.24
574,NOV-2017.0,23.92
575,DEC-2017.0,21.47
