,Open,High,Low,Close,Adj Close,Volume
68,5997.35009765625,6011.0,5566.25,5842.2001953125,5842.2001953125,2981700
69,5834.10009765625,6093.35009765625,5675.75,5742.0,5742.0,3519500
70,5776.89990234375,5808.5,5118.85009765625,5471.7998046875,5471.7998046875,5011800
71,5480.25,6142.5,5318.89990234375,5735.2998046875,5735.2998046875,4485900
72,5756.10009765625,6309.0498046875,5700.9501953125,6299.14990234375,6299.14990234375,3840600
73,6289.75,6332.60009765625,5972.4501953125,6176.10009765625,6176.10009765625,3008100
74,6171.14990234375,6415.25,6129.9501953125,6304.0,6304.0,3616400
75,6301.25,6358.2998046875,6027.25,6089.5,6089.5,3280800
76,6058.7998046875,6282.7001953125,5933.2998046875,6276.9501953125,6276.9501953125,2688200
77,6264.35009765625,6730.0498046875,6212.25,6704.2001953125,6704.2001953125,3853200
78,6729.5,6869.85009765625,6650.39990234375,6696.39990234375,6696.39990234375,2672300
79,6709.9501953125,7563.5,6638.5498046875,7229.9501953125,7229.9501953125,4282600
80,7264.0498046875,7700.0498046875,7239.5,7611.35009765625,7611.35009765625,3619400
81,7629.0,7840.9501953125,7422.14990234375,7721.2998046875,7721.2998046875,3315500
82,7662.5,7968.25,7540.10009765625,7954.35009765625,7954.35009765625,2481800
83,7990.35009765625,8180.2001953125,7841.7998046875,7964.7998046875,7964.7998046875,2931900
84,7960.5,8330.75,7723.85009765625,8322.2001953125,8322.2001953125,2696600
85,8348.150390625,8617.0,8290.25,8588.25,8588.25,2698000
86,8605.099609375,8626.9501953125,7961.35009765625,8282.7001953125,8282.7001953125,3148800
87,8288.7001953125,8996.599609375,8065.4501953125,8808.900390625,8808.900390625,3373200
88,8802.5,8913.4501953125,8470.5,8844.599609375,8844.599609375,3430800
89,8953.849609375,9119.2001953125,8269.150390625,8491.0,8491.0,3727800
90,8483.7001953125,8841.650390625,8144.75,8181.5,8181.5,3108200
91,8230.0498046875,8489.5498046875,7997.14990234375,8433.650390625,8433.650390625,3384800
92,8417.25,8467.150390625,7940.2998046875,8368.5,8368.5,3156900
93,8376.25,8654.75,8315.400390625,8532.849609375,8532.849609375,3097900
94,8510.650390625,8621.5498046875,7667.25,7971.2998046875,7971.2998046875,3939200
95,7907.9501953125,8055.0,7539.5,7948.89990234375,7948.89990234375,3436500
96,7992.0498046875,8336.2998046875,7930.64990234375,8065.7998046875,8065.7998046875,3364200
97,8054.5498046875,8116.10009765625,7714.14990234375,7935.25,7935.25,2868500
98,7958.14990234375,7979.2998046875,7551.0498046875,7946.35009765625,7946.35009765625,3026200
99,7924.5498046875,7937.5498046875,7241.5,7563.5498046875,7563.5498046875,3781100
100,7589.5,7600.4501953125,6825.7998046875,6987.0498046875,6987.0498046875,5170500
101,7038.25,7777.60009765625,7035.10009765625,7738.39990234375,7738.39990234375,4809600
102,7718.0498046875,7992.0,7516.85009765625,7849.7998046875,7849.7998046875,3538800
103,7822.7001953125,8213.599609375,7678.35009765625,8160.10009765625,8160.10009765625,4361300
104,8179.2001953125,8308.150390625,7927.0498046875,8287.75,8287.75,4193500
105,8313.0498046875,8674.7001953125,8287.5498046875,8638.5,8638.5,3321700
106,8654.2998046875,8819.2001953125,8518.150390625,8786.2001953125,8786.2001953125,3826100
107,8793.599609375,8968.7001953125,8555.2001953125,8611.150390625,8611.150390625,3900400
108,8666.150390625,8806.9501953125,8506.150390625,8638.0,8638.0,3165200
109,8653.150390625,8669.599609375,7916.39990234375,8224.5,8224.5,4585400
110,8244.0,8274.9501953125,7893.7998046875,8185.7998046875,8185.7998046875,3118800
111,8210.099609375,8672.7001953125,8133.7998046875,8561.2998046875,8561.2998046875,4009100
112,8570.349609375,8982.150390625,8537.5,8879.599609375,8879.599609375,4398500
113,8904.400390625,9218.400390625,8860.099609375,9173.75,9173.75,4835000
114,9220.599609375,9367.150390625,9075.150390625,9304.0498046875,9304.0498046875,2931300
115,9339.849609375,9649.599609375,9269.900390625,9621.25,9621.25,4541800
116,9603.5498046875,9709.2998046875,9448.75,9520.900390625,9520.900390625,3558000
117,9587.9501953125,10114.849609375,9543.5498046875,10077.099609375,10077.099609375,3732400
118,10101.0498046875,10137.849609375,9685.5498046875,9917.900390625,9917.900390625,4168000
119,9937.650390625,10178.9501953125,9687.5498046875,9788.599609375,9788.599609375,4165300
120,9893.2998046875,10384.5,9831.0498046875,10335.2998046875,10335.2998046875,4500300
121,10390.349609375,10490.4501953125,10094.0,10226.5498046875,10226.5498046875,4650900
122,10263.7001953125,10552.400390625,10033.349609375,10530.7001953125,10530.7001953125,3504400
